Title,Price,Ratings,Genre
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,Nonfiction
Soul Reader,39.58,2,Default
Security,39.25,2,Horror
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,Fantasy
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,Sequential Art
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,Nonfiction
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,Sequential Art
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,Sequential Art
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,Fantasy
"Pop Gun War, Volume 1: Gift",18.97,1,Sequential Art
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,History
Patience,10.16,3,Sequential Art
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,Sequential Art
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,Sequential Art
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,Self Help
On a Midnight Clear,14.07,3,Add a comment
Obsidian (Lux #1),14.86,2,Young Adult
My Paris Kitchen: Recipes and Stories,33.37,2,Food and Drink
Masks and Shadows,56.4,2,Fantasy
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,Food and Drink
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,Sequential Art
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,Sequential Art
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,Sequential Art
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,Food and Drink
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,Add a comment
Join,35.67,5,Science Fiction
In the Country We Love: My Family Divided,22.0,4,Nonfiction
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,5,Science
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,Sequential Art
I am a Hero Omnibus Volume 1,54.63,3,Sequential Art
How to Be Miserable: 40 Strategies You Already Use,46.03,1,Self Help
Her Backup Boyfriend (The Sorensen Family #1),33.97,1,Romance
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,Sequential Art
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,Historical Fiction
First and First (Five Boroughs #3),15.97,4,Romance
Fifty Shades Darker (Fifty Shades #2),21.96,1,Romance
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,2,Nonfiction
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,2,Religion
Danganronpa Volume 1,51.99,4,Sequential Art
Crown of Midnight (Throne of Glass #2),43.29,3,Fantasy
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,Sequential Art
Camp Midnight,17.08,4,Sequential Art
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,5,Nonfiction
Burning,28.81,3,Young Adult
Bossypants,49.46,2,Default
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,Sequential Art
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,2,Fantasy
Algorithms to Live By: The Computer Science of Human Decisions,30.81,1,Nonfiction
A World of Flavor: Your Gluten Free Passport,42.95,1,Default
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,5,Default
A Murder in Time,16.64,1,Mystery
A Flight of Arrows (The Pathfinders #2),55.53,5,Historical Fiction
A Fierce and Subtle Poison,28.13,4,Young Adult
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,1,Fantasy
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,5,Christian
You Are What You Love: The Spiritual Power of Habit,21.87,4,Religion
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,4,Science Fiction
Tuesday Nights in 1980,21.04,2,Fiction
Tracing Numbers on a Train,41.6,3,Default
Throne of Glass (Throne of Glass #1),35.07,3,Fantasy
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,1,History
Thirteen Reasons Why,52.72,1,Default
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,4,Childrens
The Wedding Dress,24.12,1,Romance
The Vacationers,42.15,4,Fiction
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,Business
The Stranger,17.44,4,Philosophy
The Shadow Hero (The Shadow Hero),33.14,1,Sequential Art
The Secret (The Secret #1),27.37,4,Default
The Regional Office Is Under Attack!,51.36,5,Fiction
The Psychopath Test: A Journey Through the Madness Industry,36.0,2,Default
The Project,10.65,1,Science Fiction
The Power of Now: A Guide to Spiritual Enlightenment,43.54,2,Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,2,Nonfiction
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,5,Food and Drink
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery
The Mistake (Off-Campus #2),43.29,3,New Adult
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,1,New Adult
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,2,Food and Drink
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1,Crime
The Kite Runner,41.82,4,Default
The House by the Lake,36.95,1,Historical Fiction
The Glittering Court (The Glittering Court #1),44.28,1,Fantasy
The Girl on the Train,55.02,2,Default
The Genius of Birds,17.24,1,Nonfiction
The Emerald Mystery,23.15,2,Default
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,1,Food and Drink
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,3,Default
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,5,Nonfiction
The Art of War,33.34,5,Default
The Argonauts,10.93,2,Autobiography
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,Business
Suddenly in Love (Lake Haven #1),55.99,2,Romance
Something More Than This,16.24,4,Romance
Soft Apocalypse,26.12,2,Science Fiction
So You've Been Publicly Shamed,12.23,2,Nonfiction
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,Business
"Shobu Samurai, Project Aryoku (#3)",29.06,3,Add a comment
Secrets and Lace (Fatal Hearts #1),20.27,1,Default
Scarlett Epstein Hates It Here,43.55,5,Young Adult
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,Default
Redeeming Love,20.47,5,Christian Fiction
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,Default
Poems That Make Grown Women Cry,14.19,4,Poetry
"Nightingale, Sing",38.28,1,Young Adult
Night Sky with Exit Wounds,41.05,1,Poetry
Mrs. Houdini,30.25,5,Historical Fiction
Modern Romance,28.26,5,Add a comment
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,1,Default
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,Biography
Little Red,13.47,3,Childrens
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,5,Young Adult
Large Print Heart of the Pride,19.15,2,Default
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,Womens Fiction
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,1,Fantasy
Grumbles,22.16,2,Default
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,Travel
Frostbite (Vampire Academy #2),29.99,5,Young Adult
Follow You Home,21.36,1,Horror
First Steps for New Christians (Print Edition),29.0,1,Default
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,Fiction
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,Sequential Art
Eureka Trivia 6.0,54.59,4,Default
Drive: The Surprising Truth About What Motivates Us,34.95,4,Default
Done Rubbed Out (Reightman & Bailey #1),37.72,5,Default
Doing It Over (Most Likely To #1),35.61,3,Romance
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,Food and Drink
Dark Notes,19.19,5,Erotica
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,Nonfiction
Close to You,49.46,4,Christian Fiction
Chasing Heaven: What Dying Taught Me About Living,37.8,2,Spirituality
Big Magic: Creative Living Beyond Fear,30.8,3,Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,Nonfiction
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,Default
Batman: The Long Halloween (Batman),36.5,2,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,5,Sequential Art
Ayumi's Violin,15.48,2,Default
Anonymous,46.82,4,Default
Amy Meets the Saints and Sages,18.46,3,Default
Amid the Chaos,36.58,1,Cultural
Amatus,50.54,5,Default
Agnostic: A Spirited Manifesto,12.51,5,Nonfiction
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,History
You (You #1),43.61,5,Thriller
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,Sequential Art
Wild Swans,14.36,2,Young Adult
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,Politics
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,Nonfiction
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,Sequential Art
Walt Disney's Alice in Wonderland,12.96,5,Childrens
V for Vendetta (V for Vendetta Complete),37.1,4,Default
Until Friday Night (The Field Party #1),46.31,2,Young Adult
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,Default
Twenty Yawns,22.08,2,Childrens
Through the Woods,25.38,2,Sequential Art
This Is Where It Ends,27.12,2,Young Adult
The Year of Magical Thinking,43.04,2,Nonfiction
The Wright Brothers,56.8,4,Default
The White Queen (The Cousins' War #1),25.91,5,Add a comment
The Wedding Pact (The O'Malleys #2),32.61,3,Romance
The Time Keeper,27.88,5,Fiction
The Testament of Mary,52.67,4,Fiction
The Star-Touched Queen,46.02,5,Fantasy
The Songs of the Gods,44.48,5,Default
The Song of Achilles,37.4,5,Add a comment
The Rosie Project (Don Tillman #1),54.04,1,Default
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,Default
The Marriage of Opposites,28.08,4,Historical Fiction
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,Psychology
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,Humor
The Loney,23.4,1,Horror
The Literature Book (Big Ideas Simply Explained),17.43,3,Nonfiction
The Last Mile (Amos Decker #2),54.21,2,Mystery
The Immortal Life of Henrietta Lacks,40.67,2,Add a comment
The Hidden Oracle (The Trials of Apollo #1),52.26,2,Fantasy
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,Food and Drink
The Guilty (Will Robie #4),13.82,2,Thriller
The First Hostage (J.B. Collins #2),25.85,3,Fiction
The Dovekeepers,48.78,1,Add a comment
The Darkest Lie,35.35,5,Young Adult
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,Fantasy
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,1,Nonfiction
The 14th Colony (Cotton Malone #11),39.24,1,Thriller
That Darkness (Gardiner and Renner #1),13.92,1,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,Mystery
Take Me with You,45.21,3,Fiction
Swell: A Year of Waves,45.58,1,Nonfiction
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,Sequential Art
Still Life with Bread Crumbs,26.41,3,Fiction
Steve Jobs,39.5,5,Default
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,Science
Someone Like You (The Harrisons #2),52.79,5,Contemporary
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,Sequential Art
Shtum,55.84,4,Fiction
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,Travel
salt.,46.78,4,Poetry
Robin War,47.82,3,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,Sequential Art
Rain Fish,23.57,3,Childrens
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,Poetry
Pet Sematary,10.56,3,Horror
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,Self Help
Once Was a Time,18.28,2,Childrens
Old School (Diary of a Wimpy Kid #10),11.83,5,Humor
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,Nonfiction
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,Sequential Art
My Name Is Lucy Barton,41.56,1,Fiction
My Mrs. Brown,24.48,3,Fiction
My Kind of Crazy,40.36,1,Young Adult
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,Fiction
More Than Music (Chasing the Dream #1),37.61,2,Add a comment
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,Business
Luis Paints the World,53.95,3,Childrens
Luckiest Girl Alive,49.83,3,Default
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,Sequential Art
Love Is a Mix Tape (Music #1),18.03,1,Music
Looking for Lovely: Collecting the Moments that Matter,29.14,5,Nonfiction
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,Default
Let It Out: A Journey Through Journaling,26.79,5,Nonfiction
Lady Midnight (The Dark Artifices #1),16.28,5,Default
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,Food and Drink
Island of Dragons (Unwanteds #7),29.65,1,Fantasy
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,Humor
I Am Pilgrim (Pilgrim #1),10.6,4,Fiction
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,Humor
"Hush, Hush (Hush, Hush #1)",47.02,3,Default
Hold Your Breath (Search and Rescue #1),28.82,1,Romance
Hamilton: The Revolution,58.79,3,Nonfiction
Greek Mythic History,10.23,5,Default
God: The Most Unpleasant Character in All Fiction,30.03,5,Religion
Glory over Everything: Beyond The Kitchen House,45.84,3,Historical Fiction
Feathers: Displays of Brilliant Plumage,49.05,3,Art
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,Nonfiction
Every Last Word,46.47,3,Default
Eligible (The Austen Project #4),27.09,3,Fiction
El Deafo,57.62,5,Sequential Art
Eight Hundred Grapes,14.39,4,Fiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,Nonfiction
"Eat Fat, Get Thin",54.07,2,Health
Don't Get Caught,55.35,1,Young Adult
Doctor Sleep (The Shining #2),40.12,2,Horror
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,Fantasy
Dear Mr. Knightley,11.21,5,Fiction
Daily Fantasy Sports,36.58,1,Default
Crazy Love: Overwhelmed by a Relentless God,47.72,2,Christian
Cometh the Hour (The Clifton Chronicles #6),25.01,3,Fiction
Code Name Verity (Code Name Verity #1),22.13,4,Add a comment
Clockwork Angel (The Infernal Devices #1),44.14,1,Default
City of Glass (The Mortal Instruments #3),56.02,4,Fantasy
City of Fallen Angels (The Mortal Instruments #4),11.23,4,Default
City of Bones (The Mortal Instruments #1),43.28,1,Default
City of Ashes (The Mortal Instruments #2),47.27,1,Default
Cell,20.29,4,Add a comment
Catching Jordan (Hundred Oaks),50.83,3,Young Adult
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,Default
Carrie,46.23,2,Default
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,Nonfiction
Brain on Fire: My Month of Madness,49.32,5,Nonfiction
Batman: Europa,32.01,2,Sequential Art
Barefoot Contessa Back to Basics,28.01,1,Food and Drink
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,Food and Drink
Balloon Animals,17.03,3,Fiction
Art Ops Vol. 1,48.8,3,Sequential Art
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,Young Adult
Angels Walking (Angels Walking #1),34.2,2,Add a comment
Angels & Demons (Robert Langdon #1),51.48,3,Default
All the Light We Cannot See,29.87,5,Historical
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,Sequential Art
Abstract City,56.37,5,Nonfiction
A Time of Torment (Charlie Parker #14),48.35,5,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2,Mystery
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,Add a comment
A People's History of the United States,40.79,2,Add a comment
A Man Called Ove,39.72,1,Fiction
A Distant Mirror: The Calamitous 14th Century,14.58,3,History
A Brush of Wings (Angels Walking #3),55.51,1,Add a comment
1491: New Revelations of the Americas Before Columbus,21.8,3,History
"The Three Searches, Meaning, and the Story",13.33,3,Default
Searching for Meaning in Gailana,38.73,1,Fantasy
Rook,37.86,4,Add a comment
My Kitchen Year: 136 Recipes That Saved My Life,11.53,2,Food and Drink
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1,Nonfiction
Will You Won't You Want Me?,13.86,3,Womens Fiction
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,1,Science
The Star-Touched Queen,32.3,5,Fantasy
The Silent Sister (Riley MacPherson #1),46.29,5,Fiction
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,1,Add a comment
The Lonely City: Adventures in the Art of Being Alone,33.26,2,Nonfiction
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,4,Add a comment
The Golden Condom: And Other Essays on Love Lost and Found,39.43,1,Psychology
The Epidemic (The Program 0.6),14.44,5,Young Adult
The Dinner Party,56.54,2,Fiction
The Diary of a Young Girl,59.9,3,Nonfiction
The Children,11.88,3,Add a comment
Stars Above (The Lunar Chronicles #4.5),48.05,2,Young Adult
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3,Nonfiction
Raspberry Pi Electronics Projects for the Evil Genius,49.67,4,Default
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,Business
Psycho: Sanitarium (Psycho #1.5),36.97,5,Horror
Poisonous (Max Revere Novels #3),26.8,3,Mystery
One with You (Crossfire #5),15.71,4,Add a comment
No Love Allowed (Dodge Cove #1),54.65,4,Young Adult
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,Mystery
Most Wanted,35.28,3,Mystery
"Love, Lies and Spies",20.55,2,Historical Fiction
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,5,Default
Hide Away (Eve Duncan #20),11.84,1,Mystery
Furiously Happy: A Funny Book About Horrible Things,41.46,4,Nonfiction
Everyday Italian: 125 Simple and Delicious Recipes,20.1,5,Food and Drink
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1,Politics
Eleanor & Park,56.51,5,Default
Dirty (Dive Bar #1),40.83,4,Romance
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,1,Horror
Boar Island (Anna Pigeon #19),59.48,3,Mystery
A Paris Apartment,39.01,4,Historical Fiction
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,1,Food and Drink
Troublemaker: Surviving Hollywood and Scientology,48.39,2,Default
The Widow,27.26,2,Mystery
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4,Nonfiction
The Improbability of Love,59.45,1,Fiction
The Art of Startup Fundraising,21.0,3,Business
Take Me Home Tonight (Rock Star Romance #3),53.98,3,Romance
Sleeping Giants (Themis Files #1),48.74,1,Science Fiction
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,2,Biography
Playing with Fire,13.71,3,Mystery
Off the Hook (Fishing for Trouble #1),47.67,3,Romance
